id	first_name	last_name	date_of_birth	date_of_death
100	John	ADAMS	1947-01-01	
101	Gregorio	ALLEGRI	1582-01-01	1652-01-01
102	Johann Sebastian	BACH	1685-01-01	1750-01-01
103	Samuel	BARBER	1910-01-01	1981-01-01
104	Béla	BARTÓK	1881-01-01	1945-01-01
105	Ludwig van	BEETHOVEN	1770-01-01	1827-01-01
106	Ludwig van	BEETHOVEN	1770-01-01	1827-01-01
107	Leonard	BERNSTEIN	1918-01-01	1990-01-01
108	Georges	BIZET	1838-01-01	1875-01-01
109	Frédéric	CHOPIN	1810-01-01	1849-01-01
110	Johannes	BRAHMS	1833-01-01	1897-01-01
111	Benjamin	BRITTEN	1913-01-01	1976-01-01
112	Aaron	COPLAND	1900-01-01	1990-01-01
113	Manuel	de FALLA	1876-01-01	1946-01-01
114	Claude	DEBUSSY	1862-01-01	1918-01-01
115	Léo	DELIBES	1836-01-01	1891-01-01
116	Paul	DUKAS	1865-01-01	1935-01-01
117	Antonín	DVORAK	1841-01-01	1904-01-01
118	Edward	ELGAR	1857-01-01	1934-01-01
119	Gabriel	FAURÉ	1845-01-01	1924-01-01
120	Graham	FITKIN	1963-01-01	
121	George	GERSHWIN	1898-01-01	1937-01-01
122	Percy	GRAINGER	1882-01-01	1961-01-01
123	Edvard	GRIEG	1843-01-01	1907-01-01
124	George Frideric	HANDEL	1685-01-01	1759-01-01
125	Joseph	HAYDN	1732-01-01	1809-01-01
126	Ferdinand	HÉROLD	1791-01-01	1833-01-01
127	Dunno	HILDEGARD VON BINGEN	1098-01-01	1179-01-01
128	Edvard	GRIEG	1843-01-01	1907-01-01
129	Engelbert	HUMPERDINCK	1854-01-01	1921-01-01
130	Elena	KATS-CHERNIN	1957-01-01	
131	Aram	KHACHATURIAN	1903-01-01	1978-01-01
132	Zoltan	KODALY	1882-01-01	1967-01-01
133	Felix	MENDELSSOHN	1809-01-01	1847-01-01
134	Claudio	MONTEVERDI	1567-01-01	1643-01-01
135	Wolfgang Amadeus	MOZART	1756-01-01	1791-01-01
136	Gustav	HOLST	1874-01-01	1934-01-01
137	Modest	MUSSORGSKY	1839-01-01	1881-01-01
138	Carl	ORFF	1895-01-01	1982-01-01
139	Johann	PACHELBEL	1653-01-01	1706-01-01
140	Sergei	PROKOFIEV	1891-01-01	1953-01-01
141	Giacomo	PUCCINI	1858-01-01	1924-01-01
142	Henry	PURCELL	1659-01-01	1695-01-01
143	Steve	REICH	1936-01-01	
144	Nikolai	RIMSKY KORSAKOV	1844-01-01	1908-01-01
145	Gioachino	ROSSINI	1792-01-01	1868-01-01
146	John	RUTTER	1945-01-01	
147	Camille	SAINT-SAENS	1835-01-01	1921-01-01
148	Franz	SCHUBERT	1797-01-01	1828-01-01
149	Sergei	PROKOFIEV	1891-01-01	1953-01-01
150	Clara	SCHUMANN	1819-01-01	1896-01-01
151	Robert	SCHUMANN	1810-01-01	1856-01-01
152	Sergei	RACHMANINOV	1873-01-01	1943-01-01
153	Maurice	RAVEL	1875-01-01	1937-01-01
154	Dmitri	SHOSTAKOVICH	1906-01-01	1975-01-01
155	Nikolai	RIMSKY KORSAKOV	1844-01-01	1908-01-01
156	Jean	SIBELIUS	1865-01-01	1957-01-01
157	Joaquín	RODRIGO	1901-01-01	1999-01-01
158	John Philip	SOUSA	1854-01-01	1932-01-01
159	Johann	STRAUSS II	1825-01-01	1899-01-01
160	Richard	STRAUSS	1864-01-01	1949-01-01
161	Igor	STRAVINSKY	1882-01-01	1971-01-01
162	Franz	SCHUBERT	1797-01-01	1828-01-01
163	Thomas	TALLIS	1505-01-01	1585-01-01
164	John	TAVENER	1944-01-01	2013-01-01
165	Pyotr Ilyich	TCHAIKOVSKY	1840-01-01	1893-01-01
166	Ralph	VAUGHAN WILLIAMS	1872-01-01	1958-01-01
167	Giuseppe	VERDI	1813-01-01	1901-01-01
168	Antonio	VIVALDI	1678-01-01	1741-01-01
169	Richard	WAGNER	1813-01-01	1883-01-01
170	Peter	WARLOCK	1894-01-01	1930-01-01
171	Charles-Marie	WIDOR	1844-01-01	1937-01-01
